date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,city
2018-01-01,10,6,0,3.9,2,2,97,05:16 PM,08:27 AM,09:36 AM,05:31 PM,2,4,7,4,28,87,71,0.1,1000,10,10,219,20,Bergkamen
2018-01-02,6,5,0,3.9,2,2,100,06:21 PM,09:34 AM,09:36 AM,05:32 PM,2,2,5,2,26,92,80,0.5,1007,6,9,241,18,Bergkamen
2018-01-03,10,7,0,2,2,2,89,07:35 PM,10:28 AM,09:36 AM,05:33 PM,3,3,8,3,47,93,73,0.8,992,10,8,245,33,Bergkamen
2018-01-04,10,6,0,2,2,2,81,08:53 PM,11:12 AM,09:36 AM,05:34 PM,4,4,8,4,31,96,79,0.1,995,10,10,237,21,Bergkamen
2018-01-05,8,7,0,3.9,2,2,74,10:12 PM,11:48 AM,09:35 AM,05:35 PM,4,5,8,5,27,70,77,0,997,8,10,232,19,Bergkamen
2018-01-06,7,4,0,2,2,2,67,11:28 PM,12:17 PM,09:35 AM,05:37 PM,3,4,6,4,14,63,84,0,1009,7,10,146,9,Bergkamen
2018-01-07,4,1,0,5.8,2,2,59,No moonrise,12:42 PM,09:34 AM,05:38 PM,-1,-2,2,-2,27,55,77,0.2,1025,4,10,57,19,Bergkamen
2018-01-08,5,1,0,5.8,2,2,52,12:41 AM,01:05 PM,09:34 AM,05:39 PM,-2,-2,2,-2,26,22,73,0,1026,5,10,79,17,Bergkamen
2018-01-09,5,2,0,5.8,2,2,45,01:52 AM,01:28 PM,09:34 AM,05:41 PM,2,2,4,2,15,41,85,0,1014,5,10,114,9,Bergkamen
2018-01-10,9,5,0,5.8,3,3,38,02:59 AM,01:51 PM,09:33 AM,05:42 PM,4,5,7,5,17,55,86,0,1011,9,10,172,10,Bergkamen
2018-01-11,6,4,0,2,1,1,30,04:05 AM,02:16 PM,09:32 AM,05:43 PM,4,5,5,5,6,88,93,0,1017,6,6,125,4,Bergkamen
2018-01-12,5,2,0,2,1,1,23,05:10 AM,02:44 PM,09:32 AM,05:45 PM,3,4,4,4,4,94,92,0,1026,5,8,107,2,Bergkamen
2018-01-13,6,3,0,2,1,1,16,06:11 AM,03:16 PM,09:31 AM,05:46 PM,2,3,4,3,13,60,82,0,1026,6,10,110,8,Bergkamen
2018-01-14,4,1,0,5.8,2,2,9,07:10 AM,03:54 PM,09:30 AM,05:48 PM,-1,0,2,0,15,16,76,0,1023,4,10,121,10,Bergkamen
2018-01-15,6,1,0,2.1,1,1,1,08:03 AM,04:38 PM,09:29 AM,05:49 PM,0,0,4,0,35,67,73,0,1008,6,10,188,23,Bergkamen
2018-01-16,7,3,0,3.9,2,2,0,08:50 AM,05:29 PM,09:28 AM,05:51 PM,1,1,5,1,29,69,76,0,993,7,10,254,20,Bergkamen
2018-01-17,3,1,0.2,2.1,1,1,0,09:32 AM,06:25 PM,09:28 AM,05:52 PM,-1,-2,2,-2,31,91,80,0.3,999,3,9,256,21,Bergkamen
2018-01-18,8,2,0,2.1,1,1,6,10:07 AM,07:27 PM,09:27 AM,05:54 PM,1,0,4,0,37,86,77,0.4,998,8,9,244,26,Bergkamen
2018-01-19,4,2,0.4,2.1,1,1,13,10:37 AM,08:30 PM,09:26 AM,05:56 PM,0,-1,3,-1,20,88,85,0.5,1007,4,8,241,13,Bergkamen
2018-01-20,3,1,0,2.1,1,1,20,11:04 AM,09:37 PM,09:24 AM,05:57 PM,1,0,2,0,15,89,89,0,1005,3,10,208,10,Bergkamen
2018-01-21,3,1,0.4,3.9,1,1,28,11:28 AM,10:44 PM,09:23 AM,05:59 PM,0,-1,2,-1,14,72,86,0.5,1013,3,9,252,10,Bergkamen
2018-01-22,6,2,0,5.1,1,1,35,11:51 AM,11:53 PM,09:22 AM,06:01 PM,2,1,4,1,22,91,86,0.2,1010,6,10,230,14,Bergkamen
2018-01-23,9,4,0,5.1,3,3,42,12:13 PM,No moonset,09:21 AM,06:02 PM,4,3,6,3,25,81,85,0,1020,9,8,224,16,Bergkamen
2018-01-24,13,9,0,3.3,3,3,49,12:36 PM,01:04 AM,09:20 AM,06:04 PM,8,8,11,8,36,83,80,0,1015,13,10,213,22,Bergkamen
2018-01-25,11,7,0,5.1,2,2,57,01:03 PM,02:17 AM,09:19 AM,06:06 PM,5,7,9,7,19,72,79,0.3,1013,11,9,216,13,Bergkamen
2018-01-26,7,4,0,6.9,2,2,64,01:34 PM,03:32 AM,09:17 AM,06:07 PM,5,5,6,5,8,62,89,0,1019,7,10,233,5,Bergkamen
2018-01-27,7,3,0,6.9,2,2,71,02:11 PM,04:48 AM,09:16 AM,06:09 PM,2,3,5,3,19,41,82,0,1029,7,7,211,12,Bergkamen
2018-01-28,10,6,0,3.4,2,2,78,02:58 PM,06:02 AM,09:14 AM,06:11 PM,5,4,8,4,35,100,83,0,1029,10,10,236,23,Bergkamen
2018-01-29,10,7,0,3.4,2,2,86,03:56 PM,07:11 AM,09:13 AM,06:13 PM,6,6,9,6,36,87,81,0.8,1025,10,8,250,24,Bergkamen
2018-01-30,7,3,0,8.7,2,2,93,05:05 PM,08:11 AM,09:12 AM,06:15 PM,2,2,5,2,17,27,79,0,1028,7,10,235,11,Bergkamen
2018-01-31,9,5,0,3.4,2,2,97,06:21 PM,09:01 AM,09:10 AM,06:16 PM,4,4,7,4,33,91,81,0.8,1007,9,9,227,22,Bergkamen
2018-02-01,4,2,0,5.2,2,2,88,07:42 PM,09:42 AM,09:08 AM,06:18 PM,-1,-1,3,-1,24,49,74,0,1001,4,10,229,17,Bergkamen
2018-02-02,5,2,0,3.4,1,1,81,09:01 PM,10:14 AM,09:07 AM,06:20 PM,1,0,3,0,20,82,84,0,1003,5,10,253,14,Bergkamen
2018-02-03,4,1,0.2,5.2,1,1,73,10:18 PM,10:42 AM,09:05 AM,06:22 PM,-1,1,3,1,11,85,79,0.3,1007,4,9,265,8,Bergkamen
2018-02-04,1,-2,0,5.2,2,2,66,11:33 PM,11:07 AM,09:04 AM,06:24 PM,-4,-4,0,-4,13,56,75,0,1019,1,10,119,10,Bergkamen
2018-02-05,2,-2,0,8.7,2,2,58,No moonrise,11:31 AM,09:02 AM,06:25 PM,-4,-4,0,-4,17,10,74,0,1027,2,10,76,13,Bergkamen
2018-02-06,1,-3,0,9.3,2,2,51,12:44 AM,11:54 AM,09:00 AM,06:27 PM,-6,-5,-1,-5,13,48,68,0,1017,1,10,68,10,Bergkamen
2018-02-07,0,-3,0,9.7,2,2,43,01:53 AM,12:19 PM,08:59 AM,06:29 PM,-6,-4,-1,-4,11,41,67,0,1017,0,10,27,8,Bergkamen
2018-02-08,1,-3,0,9.7,2,2,36,02:59 AM,12:46 PM,08:57 AM,06:31 PM,-8,-1,0,-1,4,9,54,0,1021,1,10,160,3,Bergkamen
2018-02-09,1,-2,0,9.8,2,2,28,04:02 AM,01:17 PM,08:55 AM,06:33 PM,-7,-4,0,-4,16,19,61,0,1015,1,10,183,11,Bergkamen
2018-02-10,2,0,0,6.6,1,1,20,05:02 AM,01:53 PM,08:53 AM,06:35 PM,-1,-2,1,-2,18,84,87,0,1015,2,10,201,11,Bergkamen
2018-02-11,5,1,0,6.6,1,1,13,05:57 AM,02:34 PM,08:51 AM,06:37 PM,-1,-2,3,-2,31,74,76,0.2,1003,5,10,222,20,Bergkamen
2018-02-12,4,0,0.1,8.3,1,1,5,06:47 AM,03:23 PM,08:49 AM,06:38 PM,-2,-2,2,-2,23,69,77,0.1,1012,4,10,247,15,Bergkamen
2018-02-13,4,-1,0,9.9,2,2,0,07:30 AM,04:17 PM,08:48 AM,06:40 PM,-3,-2,2,-2,18,4,69,0,1014,4,10,177,13,Bergkamen
2018-02-14,4,-2,0,10,2,2,0,08:07 AM,05:18 PM,08:46 AM,06:42 PM,-5,-2,2,-2,18,12,59,0,1017,4,10,154,13,Bergkamen
2018-02-15,4,2,0,5,1,1,0,08:40 AM,06:21 PM,08:44 AM,06:44 PM,-2,-1,3,-1,29,89,74,0,1014,4,8,191,19,Bergkamen
2018-02-16,6,1,0,10,2,2,2,09:08 AM,07:28 PM,08:42 AM,06:46 PM,0,1,4,1,16,27,80,0,1024,6,7,231,10,Bergkamen
2018-02-17,5,1,0,8.3,2,2,10,09:33 AM,08:35 PM,08:40 AM,06:48 PM,-2,1,3,1,11,45,71,0,1025,5,10,107,7,Bergkamen
2018-02-18,6,0,0,10.1,2,2,17,09:56 AM,09:45 PM,08:38 AM,06:49 PM,-2,1,4,1,12,15,67,0,1027,6,10,174,9,Bergkamen
2018-02-19,5,0,0,8.3,1,1,25,10:19 AM,10:55 PM,08:36 AM,06:51 PM,-4,1,2,1,9,56,64,0,1021,5,10,164,6,Bergkamen
2018-02-20,5,-1,0,10.2,2,2,32,10:42 AM,No moonset,08:34 AM,06:53 PM,-4,0,2,0,10,15,67,0,1019,5,10,71,7,Bergkamen
2018-02-21,3,-1,0,10.2,2,2,40,11:07 AM,12:07 AM,08:32 AM,06:55 PM,-4,-2,1,-2,14,4,69,0,1025,3,10,51,11,Bergkamen
2018-02-22,3,-2,0,10.3,2,2,47,11:36 AM,01:21 AM,08:30 AM,06:57 PM,-6,-4,0,-4,20,4,63,0,1025,3,10,64,15,Bergkamen
2018-02-23,2,-2,0,10.3,2,2,55,12:09 PM,02:34 AM,08:28 AM,06:59 PM,-9,-5,0,-5,21,5,54,0,1023,2,10,68,16,Bergkamen
2018-02-24,2,-3,0,10.7,2,2,62,12:50 PM,03:47 AM,08:26 AM,07:00 PM,-13,-6,-1,-6,27,14,39,0,1026,2,10,78,19,Bergkamen
2018-02-25,-1,-4,0,10,2,2,70,01:42 PM,04:56 AM,08:23 AM,07:02 PM,-16,-9,-3,-9,23,31,38,0,1030,-1,10,73,18,Bergkamen
2018-02-26,-2,-5,0,7,1,1,77,02:43 PM,05:58 AM,08:21 AM,07:04 PM,-11,-9,-4,-9,22,68,59,0,1029,-2,10,48,17,Bergkamen
2018-02-27,-2,-7,0,8.5,2,2,85,03:55 PM,06:50 AM,08:19 AM,07:06 PM,-14,-10,-4,-10,18,39,48,0,1023,-2,10,58,14,Bergkamen
2018-02-28,-5,-8,0,10.9,2,2,93,05:12 PM,07:34 AM,08:17 AM,07:08 PM,-17,-13,-6,-13,25,28,42,0,1023,-5,10,88,19,Bergkamen
2018-03-01,-2,-8,0,10.1,1,1,96,06:31 PM,08:10 AM,08:15 AM,07:10 PM,-17,-12,-5,-12,33,39,40,0,1012,-2,10,86,24,Bergkamen
2018-03-02,-1,-7,0,10.1,2,2,100,07:51 PM,08:40 AM,08:13 AM,07:11 PM,-17,-10,-4,-10,25,42,36,0,1002,-1,10,83,20,Bergkamen
2018-03-03,1,-4,0.1,7,2,2,89,09:07 PM,09:06 AM,08:11 AM,07:13 PM,-7,-6,-2,-6,16,52,68,0.1,1000,1,9,101,12,Bergkamen
2018-03-04,8,-1,0,8.6,1,1,82,10:22 PM,09:31 AM,08:08 AM,07:15 PM,0,1,4,1,16,54,80,0,998,8,10,139,9,Bergkamen
2018-03-05,11,3,0,11.1,3,3,74,11:34 PM,09:55 AM,08:06 AM,07:17 PM,4,4,7,4,19,28,81,0,995,11,10,178,11,Bergkamen
2018-03-06,11,3,0,11.1,3,3,67,No moonrise,10:19 AM,08:04 AM,07:18 PM,3,6,7,6,11,37,79,0,992,11,10,205,6,Bergkamen
2018-03-07,9,3,0,8.6,3,3,60,12:43 AM,10:46 AM,08:02 AM,07:20 PM,4,6,7,6,8,60,82,0.6,995,9,8,233,6,Bergkamen
2018-03-08,9,3,0,8.6,3,3,53,01:49 AM,11:16 AM,08:00 AM,07:22 PM,2,2,5,2,26,59,76,0.2,1001,9,9,223,18,Bergkamen
2018-03-09,10,2,0,10.2,3,3,45,02:51 AM,11:50 AM,07:58 AM,07:24 PM,1,3,6,3,19,44,73,0,1007,10,10,205,13,Bergkamen
2018-03-10,15,7,0,10.2,4,4,38,03:49 AM,12:29 PM,07:55 AM,07:25 PM,8,9,11,9,20,70,82,0,1002,15,8,186,13,Bergkamen
2018-03-11,15,8,0,7.3,3,3,31,04:41 AM,01:16 PM,07:53 AM,07:27 PM,9,10,12,10,19,51,84,0.1,997,15,8,171,11,Bergkamen
2018-03-12,14,8,0,8.7,3,3,24,05:27 AM,02:07 PM,07:51 AM,07:29 PM,7,10,11,10,16,83,78,0.1,993,14,8,208,11,Bergkamen
2018-03-13,9,5,0,5.9,2,2,16,06:06 AM,03:06 PM,07:49 AM,07:31 PM,4,4,7,4,21,100,82,0.7,1002,9,9,258,15,Bergkamen
2018-03-14,9,3,0,11.6,3,3,9,06:40 AM,04:08 PM,07:46 AM,07:32 PM,2,5,7,5,10,40,73,0,1011,9,10,179,8,Bergkamen
2018-03-15,12,3,0,11.6,3,3,2,07:10 AM,05:14 PM,07:44 AM,07:34 PM,0,5,8,5,20,18,61,0,1001,12,10,110,15,Bergkamen
2018-03-16,6,0,0.1,6,1,1,0,07:36 AM,06:22 PM,07:42 AM,07:36 PM,1,0,4,0,20,100,80,1.3,1003,6,7,79,16,Bergkamen
2018-03-17,0,-3,0,6,1,1,0,08:00 AM,07:32 PM,07:40 AM,07:38 PM,-9,-8,-2,-8,34,87,57,0,1009,0,10,73,26,Bergkamen
2018-03-18,1,-4,0,11.6,2,2,5,08:23 AM,08:44 PM,07:37 AM,07:39 PM,-12,-9,-2,-9,32,45,47,0,1011,1,10,76,24,Bergkamen
2018-03-19,2,-4,0,11.6,2,2,13,08:46 AM,09:57 PM,07:35 AM,07:41 PM,-13,-6,-1,-6,20,8,39,0,1014,2,10,62,15,Bergkamen
2018-03-20,6,-2,0,11.6,2,2,20,09:11 AM,11:11 PM,07:33 AM,07:43 PM,-6,-1,2,-1,18,30,59,0,1020,6,10,117,13,Bergkamen
2018-03-21,5,-1,0,10.2,2,2,27,09:38 AM,No moonset,07:31 AM,07:44 PM,-3,1,3,1,10,27,67,0,1028,5,10,232,7,Bergkamen
2018-03-22,6,2,0,6.1,1,1,34,10:10 AM,12:25 AM,07:28 AM,07:46 PM,2,1,4,1,21,96,85,0,1016,6,9,255,14,Bergkamen
2018-03-23,8,4,0,7.5,2,2,42,10:49 AM,01:39 AM,07:26 AM,07:48 PM,3,4,6,4,12,75,83,0,1007,8,7,224,9,Bergkamen
2018-03-24,11,2,0,7.5,2,2,49,11:36 AM,02:49 AM,07:24 AM,07:49 PM,1,5,7,5,10,46,68,0,1004,11,10,127,7,Bergkamen
2018-03-25,11,4,0,7.5,3,3,56,12:33 PM,03:52 AM,07:21 AM,07:51 PM,1,7,8,7,8,52,64,0,1008,11,10,64,5,Bergkamen
2018-03-26,10,4,0,10.2,3,3,63,01:39 PM,04:46 AM,07:19 AM,07:53 PM,1,6,7,6,9,57,66,0,1015,10,10,270,7,Bergkamen
2018-03-27,11,3,0,8.9,3,3,71,02:52 PM,05:31 AM,07:17 AM,07:54 PM,1,6,7,6,13,51,65,0.1,1012,11,10,172,10,Bergkamen
2018-03-28,10,6,0,6.2,2,2,78,04:09 PM,06:08 AM,07:14 AM,07:56 PM,5,5,7,5,15,99,84,0.2,1002,10,10,214,11,Bergkamen
2018-03-29,9,4,0,8.9,2,2,85,05:27 PM,06:39 AM,07:12 AM,07:58 PM,0,3,6,3,18,62,67,0.2,1006,9,10,229,13,Bergkamen
2018-03-30,14,5,0,10.3,3,3,93,06:43 PM,07:06 AM,07:10 AM,07:59 PM,1,7,9,7,17,52,58,0,1003,14,10,137,11,Bergkamen
2018-03-31,12,5,0,9,2,2,96,07:59 PM,07:31 AM,07:07 AM,08:01 PM,3,8,9,8,9,49,69,0,1000,12,10,207,7,Bergkamen
2018-04-01,8,5,0,6.5,2,2,89,09:12 PM,07:55 AM,07:05 AM,08:03 PM,2,5,6,5,7,84,78,0.1,1008,8,10,189,5,Bergkamen
2018-04-02,13,3,0,9.1,2,2,81,10:23 PM,08:19 AM,07:03 AM,08:04 PM,3,7,9,7,16,76,68,0,1008,13,10,189,12,Bergkamen
2018-04-03,18,10,0,9.1,4,4,74,11:33 PM,08:44 AM,07:01 AM,08:06 PM,7,12,13,12,25,64,69,0.1,1002,18,10,201,18,Bergkamen
2018-04-04,15,9,0,9.2,4,4,66,No moonrise,09:13 AM,06:58 AM,08:08 PM,7,10,12,10,23,53,73,0.3,1002,15,9,203,16,Bergkamen
2018-04-05,10,4,0,8,2,2,59,12:38 AM,09:45 AM,06:56 AM,08:09 PM,3,5,8,5,25,77,72,0.2,1011,10,10,257,18,Bergkamen
2018-04-06,15,3,0,11.6,3,3,51,01:39 AM,10:23 AM,06:54 AM,08:11 PM,-1,8,9,8,16,17,53,0,1021,15,10,136,12,Bergkamen
2018-04-07,22,8,0,11.6,4,4,44,02:34 AM,11:07 AM,06:51 AM,08:13 PM,4,14,15,14,19,13,50,0,1012,22,10,160,12,Bergkamen
2018-04-08,25,13,0,11.6,5,5,36,03:23 AM,11:57 AM,06:49 AM,08:14 PM,7,19,19,19,11,22,49,0.4,1008,25,10,157,6,Bergkamen
2018-04-09,23,14,0,11.6,5,5,28,04:05 AM,12:52 PM,06:47 AM,08:16 PM,10,18,19,18,11,33,59,0,1005,23,10,121,8,Bergkamen
2018-04-10,21,13,0,10.4,5,5,21,04:40 AM,01:53 PM,06:45 AM,08:18 PM,10,18,18,18,8,39,64,0,1004,21,10,181,6,Bergkamen
2018-04-11,17,11,0,9.2,3,3,13,05:11 AM,02:57 PM,06:42 AM,08:19 PM,10,14,14,14,12,51,75,0.4,1007,17,10,101,10,Bergkamen
2018-04-12,19,10,0,9.3,3,3,6,05:38 AM,04:04 PM,06:40 AM,08:21 PM,10,13,14,13,15,63,77,0.9,1003,19,10,84,11,Bergkamen
2018-04-13,15,12,0,6.9,3,3,0,06:02 AM,05:14 PM,06:38 AM,08:23 PM,8,13,14,13,13,61,72,0.5,1007,15,10,275,9,Bergkamen
2018-04-14,17,10,0,10.4,3,3,0,06:25 AM,06:25 PM,06:36 AM,08:24 PM,8,13,13,13,10,54,72,0,1017,17,10,199,8,Bergkamen
2018-04-15,20,11,0,11.6,4,4,0,06:48 AM,07:39 PM,06:34 AM,08:26 PM,9,15,15,15,7,53,67,1,1014,20,10,168,5,Bergkamen
2018-04-16,18,12,0,11.6,4,4,1,07:12 AM,08:55 PM,06:32 AM,08:28 PM,8,15,15,15,11,27,64,0.1,1015,18,10,278,9,Bergkamen
2018-04-17,22,10,0,11.6,5,5,9,07:39 AM,10:11 PM,06:29 AM,08:29 PM,7,17,17,17,6,15,56,0,1025,22,10,168,5,Bergkamen
2018-04-18,25,13,0,11.6,5,5,17,08:09 AM,11:28 PM,06:27 AM,08:31 PM,9,21,21,21,8,2,47,0,1030,25,10,124,6,Bergkamen
2018-04-19,28,15,0,11.6,6,6,24,08:46 AM,No moonset,06:25 AM,08:33 PM,10,23,23,23,16,3,45,0,1028,28,10,125,10,Bergkamen
2018-04-20,28,17,0,11.6,6,6,32,09:32 AM,12:41 AM,06:23 AM,08:34 PM,11,23,23,24,13,11,47,0,1023,28,10,245,9,Bergkamen
2018-04-21,22,14,0,11.6,5,5,39,10:26 AM,01:48 AM,06:21 AM,08:36 PM,12,20,20,20,10,5,63,0,1021,22,10,76,8,Bergkamen
2018-04-22,26,15,0,11.6,6,6,47,11:30 AM,02:45 AM,06:19 AM,08:38 PM,11,21,21,21,13,22,58,1.2,1013,26,10,171,9,Bergkamen
2018-04-23,19,13,0,11.6,5,5,54,12:41 PM,03:33 AM,06:17 AM,08:40 PM,9,16,16,16,19,20,62,0.2,1014,19,10,260,14,Bergkamen
2018-04-24,14,10,0,7.1,3,3,62,01:56 PM,04:11 AM,06:15 AM,08:41 PM,7,11,12,11,19,73,70,0,1015,14,10,233,14,Bergkamen
2018-04-25,15,11,0,9.4,3,3,69,03:12 PM,04:43 AM,06:13 AM,08:43 PM,7,12,13,12,24,71,67,0.1,1010,15,10,254,18,Bergkamen
2018-04-26,14,8,0,11.6,4,4,77,04:27 PM,05:10 AM,06:11 AM,08:45 PM,4,8,11,8,24,43,63,0.1,1015,14,10,248,19,Bergkamen
2018-04-27,18,7,0,11.6,4,4,85,05:41 PM,05:35 AM,06:09 AM,08:46 PM,3,12,13,12,12,27,53,0,1013,18,10,162,9,Bergkamen
2018-04-28,17,12,0,9.4,4,4,92,06:54 PM,05:58 AM,06:07 AM,08:48 PM,7,14,14,14,16,58,61,0,1011,17,10,230,12,Bergkamen
2018-04-29,24,10,0,11.6,5,5,100,08:06 PM,06:20 AM,06:05 AM,08:50 PM,10,17,17,17,10,39,66,0.6,1008,24,10,115,8,Bergkamen
2018-04-30,16,10,0,8.3,3,3,100,09:16 PM,06:45 AM,06:03 AM,08:51 PM,7,12,14,12,27,86,67,1.2,999,16,10,170,22,Bergkamen
2018-05-01,13,7,0,10.5,3,3,89,10:23 PM,07:12 AM,06:01 AM,08:53 PM,1,7,10,7,27,61,56,0,1009,13,10,229,22,Bergkamen
